object_id,Z,Z_err,EBV,SpecType,English Translation,split,target,g_mean,i_mean,r_mean,u_mean,y_mean,z_mean,g_max,i_max,r_max,u_max,y_max,z_max,g_std,i_std,r_std,u_std,y_std,z_std,g_count,i_count,r_count,u_count,y_count,z_count,u_decay_time,u_fwd_half_time,u_peak_to_median,u_rise_time,g_rise_time,g_decay_time,g_peak_to_median,r_rise_time,r_decay_time,r_peak_to_median,i_rise_time,i_decay_time,i_peak_to_median,g_fwd_half_time,u_g_ratio,g_r_ratio,blue_slope
Dornhoth_fervain_onodrim,3.049,,0.11,AGN,Trawn Folk (Dwarfs) + northern + Ents (people) ,split_01,0,-0.5413411546106034,2.6015766816760704,1.4125783022318212,0.9507445718703093,-0.458879048358733,1.4897595556790701,1.4239997536195592,28.277937425059758,13.802699740854353,4.275465577948097,6.698855037485245,29.395555353921523,0.982121489382285,7.80283903218729,4.255918191423646,1.8612849981964807,2.949914891384847,8.886729050015235,6.0,15.0,16.0,5.0,11.0,12.0,48.41049999999814,0.0,38.138180625078185,61.613400000002,369.68010000000504,189.2410000000018,-1.6699011155605066,61.613400000002,44.009500000000116,-24.042554306936115,132.02870000000257,70.41519999999582,-63.28104733379324,0.0,3.0024131274948678,0.10316813005236879,1.002830868001552
Dornhoth_galadh_ylf,0.4324,,0.058,SN II,Trawn Folk (Dwarfs) + tree + drinking vessel ,split_01,0,0.21887470535400302,0.3947245356484242,0.3173030968402051,0.034930412396316765,0.757252692397034,0.5732091189866882,1.5183130715749533,5.797248747381009,3.027456535358093,1.3712235479060535,12.200074238365222,7.86633830207573,0.4398987797713093,1.0804042269049232,0.7595431366351927,0.7295255578751879,2.6821698519773407,1.621655198690918,16.0,37.0,35.0,15.0,29.0,35.0,849.8626000000004,0.0,-35.7861675829515,207.9725000000035,1029.5919000000067,785.6736999999994,16.840119631608786,1016.7541000000056,89.86469999999827,44.32682731034602,1021.8893000000025,74.45919999999751,38.83694665084727,0.0,0.903117112278144,0.5015127512864036,-0.12577835192091205
Elrim_melethril_thul,0.4673,,0.577,AGN,Elves +  lover (fem.)  + breath,split_01,0,3.7574064608362843,7.781453264558862,5.462329102167219,0.07801249363668142,0.0655330292819638,9.2878012175916,8.691179316790459,14.758927274402387,11.552148762603641,4.737530270609453,12.971608224309,15.324460822289364,2.995946885628492,8.62449016714341,4.078020136649917,4.223092222068491,18.251946577814223,4.516927219017813,9.0,6.0,5.0,5.0,2.0,8.0,-444.66629999999714,0.0,2.622925520864319,444.66629999999714,0.0,403.45329999999376,3.4003517077330443,0.0,399.11509999999544,3.8673667034425128,730.9880000000048,36.87479999999778,1.4849460927533786,0.0,0.5450957398266593,0.752342440525084,-0.5476689501897982
Ithil_tobas_rodwen,0.6946,,0.012,AGN,moon +  roof  +  noble maiden,split_01,0,0.289940381121034,0.455992441244259,0.44804396551711717,0.16133313466577087,0.34827375630116414,0.540508738636199,1.4255503841510226,2.269819528417187,1.922080375806919,1.6956968267268324,5.4319012538085065,3.0389900579808207,0.36348329334540885,0.643550069599804,0.5393922611105412,0.4653819022493083,1.8323880667837957,0.7196179153049609,134.0,160.0,149.0,108.0,115.0,132.0,48.6903999999995,0.0,8.974951089991471,2073.638199999994,409.57219999999506,936.5742000000027,5.187378780579388,1744.2621,45.82619999999588,4.611949426045297,403.84389999999985,993.8570000000036,5.877859236857855,0.0,1.1894949141257785,0.7416666781615603,0.32591932297115006
Mirion_adar_Druadan,0.4161,,0.058,AGN," jewel, Silmaril  + father + Wild Man ",split_01,0,0.056119560508185104,0.4286054958717949,0.24211378961336552,-0.018188890840217967,0.3089483493167261,0.322405800291385,1.7988276252123825,6.01082934263034,2.7099190108436653,0.6858163299447355,2.542350993028817,2.939650761799804,0.9767109227342143,1.5072896793635133,1.246041997190653,0.5469418108027183,1.8278908079801615,1.1958392584721984,14.0,28.0,33.0,13.0,14.0,27.0,1060.2880000000005,0.0,4.941129313877279,713.4855000000025,762.0819999999949,698.023000000001,27.698167326966917,675.9335999999967,483.7563999999984,4.891615666182224,291.5792000000001,90.56629999999859,19.612028804963565,0.0,0.38125527303430934,0.6637914196329315,-0.7304840308615898
Mirion_lalaith_neledh,1.197,,0.054,AGN," jewel, Silmaril  + laughter + enter, go in ",split_01,0,0.9661148792235653,1.3305931616790998,1.084015653720097,0.5364339376879054,0.9892041921337746,1.511860907051934,1.5910773001607454,3.333403079145608,2.8221819466308844,0.9976239281639135,4.807810008133166,3.4842622941034738,0.4453304485698041,1.0878591443391188,0.6401820747064814,0.39113956960324114,2.451123054200673,1.026047652490305,13.0,26.0,32.0,8.0,20.0,20.0,-1503.5449999999983,0.0,1.5343514166284975,1742.4804000000004,410.8523999999961,0.0,1.5329301843306686,658.5293999999994,437.0770000000048,3.145332897041525,1835.7235,-1372.4218000000037,2.227809705265125,0.0,0.627007662032828,0.563773595222736,-0.7094650907417879
Rochirrim_lebdas_pethron,0.1806,,0.153,SN Ib,Horse.Lords (People)  +   index finger  + narrator,split_01,0,0.08180539823265343,0.4415948455267714,0.3402167337699634,0.09625082988384587,0.2384852888603683,0.4934833516978737,0.6265376431103997,2.5593517972257835,1.4431828071124146,1.2462462923901148,2.124773242386908,2.2243552925451007,0.23600723915641394,0.9067680451331248,0.5043825583881977,0.7098586843529159,1.0617664291548639,0.7562435382012292,15.0,36.0,27.0,11.0,15.0,34.0,1096.3194000000003,0.0,8.60558463110643,356.8914999999979,292.77930000000197,81.20880000000034,-326.0559029550272,279.95679999999993,134.63570000000618,6.036598095816069,294.9163999999946,89.75710000000254,14.902687162279902,0.0,1.9890686783263858,0.4341330139830698,0.6551690701466538
acharn_lend_Mithrim,0.1887,,0.051,AGN,"vengeance + journey, way + Sindar",split_01,0,1.8600177818179742,2.4883691040122207,3.1852225168110433,1.591537241266001,3.030540471036346,2.6174415012814287,3.885372293896584,7.166905696912936,8.798485972820501,3.020867941220184,10.142295651785942,6.671645683039114,1.6145577724138294,2.687676262598402,2.430537380895656,1.3623115760810567,3.2440455706973026,2.483561444896927,9.0,21.0,26.0,7.0,19.0,26.0,303.65230000000156,0.0,1.5088303359136501,326.8614000000016,324.927300000003,303.65230000000156,2.9292872222908377,1460.2387000000017,0.0,2.502055315138002,1417.6886999999988,0.0,3.596053289680253,0.0,0.7774956780869577,0.4415950528248142,-0.29040624475207377
achas_iar_gaur,1.238,,0.046,AGN,achas + blood + werewolf,split_01,0,0.015475279711312366,0.011471547009870126,0.6398028499001487,0.10914734532500474,-0.4742440714703111,-0.07202887691560973,0.21970891365087838,0.6869890013449153,1.1610349739462553,0.4664424305141824,2.233711454207856,2.657127612832172,0.1218394430364256,0.33654164157385413,0.3700644518275906,0.18950284131658432,1.4214127546882476,0.7259717868327703,12.0,36.0,40.0,12.0,24.0,38.0,243.37770000000455,0.0,6.254154267332354,768.7174000000014,0.0,1433.5541000000012,-11.32319288743808,813.2376999999979,1228.7606000000014,1.4971505359345618,26.712200000001758,801.3655999999974,-14.506609669447698,0.0,2.1229052281558904,0.18923376663361594,0.7924577055087817
aduial_nur_luith,2.201,,0.012,AGN,"evening, twilight  + race + spell",split_01,0,0.23519257186959433,0.493050513478558,0.5619473694769064,0.418441782326918,0.7516879576573162,0.4455711900716686,1.3166048356633617,2.3004651128103126,2.0299861961316576,1.1621203205682764,3.0190253064162262,2.769646056261569,0.4786255175338168,0.7438376852881468,0.7689058512898714,0.49581362099687126,1.2048080260798342,1.14218509656092,8.0,23.0,25.0,5.0,19.0,23.0,-1184.875199999995,0.0,2.8098471359790778,1184.875199999995,1208.4939000000013,677.071600000003,6.914160259101169,1322.6513999999952,562.9141000000018,4.926149132552344,1129.7646999999997,1062.8449000000037,10.235219590120781,0.0,0.8826577743845299,0.6485750259888525,-0.15853522671077838
