object_id,target,cat_prob
Dornhoth_fervain_onodrim,0,0.11998365994362346
Dornhoth_galadh_ylf,0,0.5908613533804467
Elrim_melethril_thul,0,0.002768232904177945
Ithil_tobas_rodwen,0,0.23614279909756866
Mirion_adar_Druadan,0,0.0007033461279662164
Mirion_lalaith_neledh,0,0.06439630640109122
Rochirrim_lebdas_pethron,0,0.6040130113974095
acharn_lend_Mithrim,0,0.008762272245986285
achas_iar_gaur,0,0.04232204775130783
aduial_nur_luith,0,0.17765534370722746
amath_gwador_helegnen,0,0.004209457375651881
amlug_loss_ang,0,0.01775986748390516
amon_imloth_luin,1,0.31489687121565335
andrann_puig_fern,0,0.053194273922512754
ang_cugu_harad,0,0.05420691247568578
ang_neledh_aith,0,0.6148913777111037
angos_rusc_curunir,0,0.40213067238366085
annon_adab_lossen,0,0.07672535880561784
araf_hub_faun,0,0.0011974135897874242
aras_ryn_manadh,0,0.0009875772992372967
badhor_graw_aiglos,0,0.07832311017316652
badhor_magol_merilin,0,0.009479339451668812
badhor_onodrim_alagos,0,0.08168208407759586
baneth_pilin_tachol,0,0.18906443966970685
bragol_bronwe_lagor,0,0.17500107041181556
bragol_nothrim_gas,0,0.08673119118838712
celair_aerlinn_aes,0,0.03887949484564956
cirion_ira_Ithil,0,0.07293608694204844
corch_faun_min,0,0.033397941369327666
corf_Mirion_toll,0,0.002435410010111747
cuin_haudh_cenedril,0,0.0906452391616947
cuin_law_amon,0,0.1141809301950528
dam_corch_agar,0,0.20861578509640294
dirnaith_achas_noroth,0,0.32567869326033694
drafn_araf_ryn,1,0.7010763170967613
eilian_pilin_fang,0,0.1256475904375769
eilian_pod_firiel,0,0.5820580748763463
elu_rusc_nath,1,0.7420315458485374
elvellon_fast_annon,0,0.040465432073064855
ennorath_guldur_aear,0,0.007429720806940951
erchion_ungol_aduial,0,0.3075337286741156
espalass_melethron_ungol,0,0.00012289961976205295
espalass_nestad_hul,0,0.30574793195617433
fae_haeron_merilin,0,0.04751082202919195
fang_ira_nell,0,0.1647801041827859
fast_ang_lebenedh,0,0.1234096558598301
fast_celeb_bregedur,0,0.05218782218105882
firiel_lend_mithril,0,0.3144093655759032
fuin_bragol_talraph,0,0.13073708189250602
galad_thangail_pethron,0,0.005367416712280276
gas_cair_gondrath,0,0.7013189565363939
gas_glaur_daen,0,0.02982068882861261
gaurwaith_Ithil_rhach,0,0.17746200749954652
gli_lembas_galadhrim,0,0.14270036991501542
gond_aduial_suil,0,0.44800668200828897
gond_pent_Dornhoth,0,0.5297507252793875
gondrath_saer_rach,0,0.6006309958026511
graw_heledir_lunt,0,0.008953918353549683
graw_idhren_narthan,0,0.004618939229424577
gul_braig_baug,0,0.08980659091007494
gwador_thurin_hal,0,0.6034518512449784
gwathui_adan_barad,0,0.39071981574651365
gwilwileth_aegas_ah,0,0.007086748207773828
gwilwileth_ungol_aegas,0,0.31711576702019134
hand_gwathui_alae,0,0.05129663802298606
hand_parf_gwathui,0,0.00036699289045858015
helegnen_luith_raug,0,0.3738004264182753
helegnen_tathar_hend,0,0.00024393281322561842
hervess_calad_firiel,0,0.16483411004776305
hervess_hend_lam,1,0.6216748089385766
hud_fast_hend,0,0.7234949617274219
imrad_achas_glamor,1,0.7443303178000303
imrad_nothrim_Sindarin,0,0.030068173153009383
ingem_hub_lembas,0,0.34221556063250996
ingem_lost_acharn,0,0.08165559695490619
ist_acharn_pendrath,0,0.1987195580069974
lagor_narthan_mindon,0,0.24598698489404852
lang_lalaith_meldir,0,0.060348439702008226
law_minuial_cabor,0,0.10035012484349254
lebdas_adab_aglareb,0,0.04848369243870301
limlug_mindon_iar,0,0.2958546204565864
limlug_pess_gwend,0,0.08875312803337547
lobor_mithren_fang,0,0.12253050308307337
lossen_pess_duin,0,0.4590701909222475
lost_ungol_draug,0,0.6766666900670859
luith_gobennas_ang,0,0.0025574213935074994
luith_saig_aranarth,0,0.07850820493772333
luithien_mindon_eirien,0,0.017351493125633353
maethor_meldir_rhosc,0,0.013563176587325866
magor_elvellon_caras,0,0.32410204776258345
malad_saer_balrog,0,0.5448813298493606
manadh_gaurwaith_lalaith,0,0.08416708937568483
melethron_panas_aeglir,0,0.033597653450865815
mereth_aiglos_ram,0,0.07853714985360502
mindon_helegnen_galad,0,0.12080506796775964
mithril_suil_cugu,1,0.27683558222871174
myril_thurin_ist,0,0.006111291778932546
nadhras_pethron_ulug,0,0.04924244407955374
narthan_cugu_mir,0,0.5779043221286644
neledh_eglan_gwaloth,0,0.016570552370535323
nestad_agarwaen_saer,0,0.3275814172060126
nimbrethil_adab_maethor,0,0.693264700418237
nur_nidh_fuin,0,0.43872479625222666
ogol_saig_adab,0,0.0121158947616397
onodrim_hervess_firion,0,0.614427922161019
paich_Mirion_aeruil,0,0.010063814794225735
paich_erchion_ablad,0,0.11276929876495147
paich_graw_haradrim,0,0.009961296669484237
panas_lalaith_bronwe,0,0.03303266045985955
parf_per_ruith,0,0.02884714232050004
pendrath_Gwathuirim_Elrim,0,0.0008502216325183263
pent_agor_bronwe,1,0.5553703270822031
per_hwiniol_nimbrethil,0,0.05616416733149678
perian_gwend_gwilwileth,0,0.010520559313910048
perian_mir_balrog,0,0.016532323453626284
pethron_corf_menel,0,0.16302766799299012
raef_hud_baug,1,0.5896393412606682
ram_thavron_rusc,1,0.7052841161733115
rhach_bellas_alae,0,0.0010538973834144866
rhun_mir_magol,0,0.06254455630112143
