object_id,target,xgb_prob
Dornhoth_fervain_onodrim,0,0.09223964810371399
Dornhoth_galadh_ylf,0,0.5148228406906128
Elrim_melethril_thul,0,0.0610002800822258
Ithil_tobas_rodwen,0,0.21029771864414215
Mirion_adar_Druadan,0,0.007330536376684904
Mirion_lalaith_neledh,0,0.06805345416069031
Rochirrim_lebdas_pethron,0,0.5503720045089722
acharn_lend_Mithrim,0,0.005115398671478033
achas_iar_gaur,0,0.008824862539768219
aduial_nur_luith,0,0.044049009680747986
amath_gwador_helegnen,0,0.06821399927139282
amlug_loss_ang,0,0.07730337977409363
amon_imloth_luin,1,0.2255856692790985
andrann_puig_fern,0,0.14729611575603485
ang_cugu_harad,0,0.021808965131640434
ang_neledh_aith,0,0.5300488471984863
angos_rusc_curunir,0,0.45571812987327576
annon_adab_lossen,0,0.4184686839580536
araf_hub_faun,0,0.027620723471045494
aras_ryn_manadh,0,0.017680784687399864
badhor_graw_aiglos,0,0.4123899042606354
badhor_magol_merilin,0,0.0663662925362587
badhor_onodrim_alagos,0,0.4150531589984894
baneth_pilin_tachol,0,0.11143582314252853
bragol_bronwe_lagor,0,0.4151632785797119
bragol_nothrim_gas,0,0.19738604128360748
celair_aerlinn_aes,0,0.02345937304198742
cirion_ira_Ithil,0,0.03428222984075546
corch_faun_min,0,0.24106957018375397
corf_Mirion_toll,0,0.0018463712185621262
cuin_haudh_cenedril,0,0.09509668499231339
cuin_law_amon,0,0.071186363697052
dam_corch_agar,0,0.4343315660953522
dirnaith_achas_noroth,0,0.48555946350097656
drafn_araf_ryn,1,0.6195035576820374
eilian_pilin_fang,0,0.17057305574417114
eilian_pod_firiel,0,0.6296286582946777
elu_rusc_nath,1,0.8293593525886536
elvellon_fast_annon,0,0.15542197227478027
ennorath_guldur_aear,0,0.06459642946720123
erchion_ungol_aduial,0,0.4951219856739044
espalass_melethron_ungol,0,0.004678770434111357
espalass_nestad_hul,0,0.45246008038520813
fae_haeron_merilin,0,0.12093409150838852
fang_ira_nell,0,0.057338420301675797
fast_ang_lebenedh,0,0.0248013474047184
fast_celeb_bregedur,0,0.13650305569171906
firiel_lend_mithril,0,0.34464630484580994
fuin_bragol_talraph,0,0.4125077724456787
