object_id,target,lgbm_prob
Dornhoth_fervain_onodrim,0,0.0028874284717581734
Dornhoth_galadh_ylf,0,0.13403746324072807
Elrim_melethril_thul,0,0.0058111551630743745
Ithil_tobas_rodwen,0,0.002199879619345581
Mirion_adar_Druadan,0,0.0010710516061058148
Mirion_lalaith_neledh,0,0.0017243432925859573
Rochirrim_lebdas_pethron,0,0.3941424062317189
acharn_lend_Mithrim,0,0.0004891235188857586
achas_iar_gaur,0,0.0002035283902792688
aduial_nur_luith,0,0.0016705616765810953
amath_gwador_helegnen,0,8.564141473964196e-05
amlug_loss_ang,0,0.003363989909198285
amon_imloth_luin,1,0.03507128992896497
andrann_puig_fern,0,0.0001558672217357317
ang_cugu_harad,0,0.0007089896958839289
ang_neledh_aith,0,0.19320437543710864
angos_rusc_curunir,0,0.013676048591170045
annon_adab_lossen,0,0.0014373958410081888
araf_hub_faun,0,0.004871176160889752
aras_ryn_manadh,0,0.0007290831639760775
badhor_graw_aiglos,0,0.0013641495802292193
badhor_magol_merilin,0,7.579908636183565e-05
badhor_onodrim_alagos,0,0.0014881393163966824
baneth_pilin_tachol,0,0.0005240413268008898
bragol_bronwe_lagor,0,0.0025644647203316613
bragol_nothrim_gas,0,0.00034421670479545995
celair_aerlinn_aes,0,0.000713183005900954
cirion_ira_Ithil,0,0.00033105577278643236
corch_faun_min,0,0.012608314513416093
corf_Mirion_toll,0,9.443896177623581e-05
cuin_haudh_cenedril,0,0.0005849663094431656
cuin_law_amon,0,0.0010984467645207042
dam_corch_agar,0,0.007446197598000226
dirnaith_achas_noroth,0,0.05304096752759481
drafn_araf_ryn,1,0.10395176010514715
eilian_pilin_fang,0,0.002168863446764199
eilian_pod_firiel,0,0.042845966219532565
elu_rusc_nath,1,0.702459463410176
elvellon_fast_annon,0,0.016791982602506004
ennorath_guldur_aear,0,0.0001389599895242279
erchion_ungol_aduial,0,0.0038656411423207376
espalass_melethron_ungol,0,0.00028351108035161606
espalass_nestad_hul,0,0.00722285233829056
fae_haeron_merilin,0,0.03589630400956089
fang_ira_nell,0,0.004340367715878279
fast_ang_lebenedh,0,0.0006363646869983631
fast_celeb_bregedur,0,0.0036806646722697335
firiel_lend_mithril,0,0.025327163612459933
fuin_bragol_talraph,0,0.0016611823516122334
galad_thangail_pethron,0,0.0004260991160226505
gas_cair_gondrath,0,0.6932187904516802
gas_glaur_daen,0,0.0072373196549999404
gaurwaith_Ithil_rhach,0,0.002479285386564122
gli_lembas_galadhrim,0,0.001098571421591798
gond_aduial_suil,0,0.01934237856561549
gond_pent_Dornhoth,0,0.10935872136783939
gondrath_saer_rach,0,0.13071892656458442
graw_heledir_lunt,0,0.00013577150474627982
graw_idhren_narthan,0,0.00010150417775322656
gul_braig_baug,0,0.0019360369218891342
gwador_thurin_hal,0,0.08122837361051653
gwathui_adan_barad,0,0.0294371424596162
gwilwileth_aegas_ah,0,9.32768257458091e-05
gwilwileth_ungol_aegas,0,0.018405071094522645
hand_gwathui_alae,0,0.00024710607870159686
hand_parf_gwathui,0,0.0006262175050666403
helegnen_luith_raug,0,0.008751297884573518
helegnen_tathar_hend,0,0.000412450018879241
hervess_calad_firiel,0,0.28724067934841774
hervess_hend_lam,1,0.1597249880940325
hud_fast_hend,0,0.4967710760661193
imrad_achas_glamor,1,0.8403545690536144
imrad_nothrim_Sindarin,0,0.0010352469237697257
ingem_hub_lembas,0,0.02288118434295206
ingem_lost_acharn,0,0.007578459460234207
